asset_id,part_category,commons_title,description_url,author,credit,license_short_name,license_url,local_path,sha256,modifications
commons_air_filter_2088950,air_filter,File:Filtry powietrza2.jpg,https://commons.wikimedia.org/wiki/File:Filtry_powietrza2.jpg,Maly LOLek,Own work,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,data/images/wikimedia/air_filter/commons_air_filter_2088950.jpg,31057e5b8ccd6aabce6d867c850efc1d32fa91e9e695e7398e5ad00a8d6bdcbd,Wikimedia thumbnail resized to maximum 1024 px width; otherwise unmodified.
commons_air_filter_220313,air_filter,File:Saab Sonett III Ford V4 engine.jpg,https://commons.wikimedia.org/wiki/File:Saab_Sonett_III_Ford_V4_engine.jpg,User:Sfoskett,"Photographed at the Bay State Antique Automobile Club's July 10, 2005 show at the Endicott Estate in Dedham, MA by User:Sfoskett",CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,data/images/wikimedia/air_filter/commons_air_filter_220313.jpg,0295930a0bd6f29eab1f44b872c7ae8a2c0b80eb5e914a9aba3a589b2a3119ca,Wikimedia thumbnail resized to maximum 1024 px width; otherwise unmodified.
commons_air_filter_475880,air_filter,"File:Air filter, opel astra(1).JPG","https://commons.wikimedia.org/wiki/File:Air_filter,_opel_astra(1).JPG",Donar Reiskoffer,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,data/images/wikimedia/air_filter/commons_air_filter_475880.jpg,74f069974c688c712ddc05298d31a927b1f9f4258b7e941d9a486a6691d7a8db,Wikimedia thumbnail resized to maximum 1024 px width; otherwise unmodified.
commons_air_filter_475881,air_filter,"File:Air filter, opel astra(2).JPG","https://commons.wikimedia.org/wiki/File:Air_filter,_opel_astra(2).JPG",Donar Reiskoffer,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,data/images/wikimedia/air_filter/commons_air_filter_475881.jpg,b581a97d25f384a3d041ab25cb786d85009a37b73672fdd6bacfc171093a8d55,Wikimedia thumbnail resized to maximum 1024 px width; otherwise unmodified.
commons_air_filter_9446495,air_filter,File:Cool-Air-intake.jpg,https://commons.wikimedia.org/wiki/File:Cool-Air-intake.jpg,Gearheadgirl,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,data/images/wikimedia/air_filter/commons_air_filter_9446495.jpg,34befa4f412df7124aa1855cf6a16700899db4a74e7a15008665dd9c9314ec26,Wikimedia thumbnail resized to maximum 1024 px width; otherwise unmodified.
commons_air_filter_new_test,air_filter,"File:Воздушные фильтры, отработанный и новый.JPG","https://commons.wikimedia.org/wiki/File:%D0%92%D0%BE%D0%B7%D0%B4%D1%83%D1%88%D0%BD%D1%8B%D0%B5_%D1%84%D0%B8%D0%BB%D1%8C%D1%82%D1%80%D1%8B,_%D0%BE%D1%82%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B8_%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9.JPG",Andshel,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,data/images/wikimedia/air_filter/commons_air_filter_new_test.jpg,e6ccaada1c7f3d20c0c0af8779ec5caf77af9060eb8573e2679bfd921ab8f3d4,Downloaded Wikimedia Commons preview (maximum dimension 960 px) or original when smaller; otherwise unmodified.
commons_air_filter_new_validation,air_filter,File:Dirty-air-filter.jpg,https://commons.wikimedia.org/wiki/File:Dirty-air-filter.jpg,Ahanix1989,Transferred from English Wikipedia,Public domain,https://commons.wikimedia.org/wiki/Commons:Public_domain,data/images/wikimedia/air_filter/commons_air_filter_new_validation.jpg,e88ccbec54e5dbe5ce042390e669f943f5a684f8ab569ed90c21009578505637,Downloaded Wikimedia Commons preview (maximum dimension 960 px) or original when smaller; otherwise unmodified.
commons_alternator_10186168,alternator,File:Alternator (cut-away) (01).JPG,https://commons.wikimedia.org/wiki/File:Alternator_(cut-away)_(01).JPG,S.J. de Waard,Own work,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,data/images/wikimedia/alternator/commons_alternator_10186168.jpg,06f0988e93dc7c258b5ec95fe591c0bed0d9841560a5adb6d96602cc7e2d22e7,Wikimedia thumbnail resized to maximum 1024 px width; otherwise unmodified.
commons_alternator_10186172,alternator,File:Alternator (cut-away) (02).JPG,https://commons.wikimedia.org/wiki/File:Alternator_(cut-away)_(02).JPG,S.J. de Waard,Own work,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,data/images/wikimedia/alternator/commons_alternator_10186172.jpg,2df953cd94169eaf14a11fbfcdb502a9adbd114b7629ea719eff508aeff18006,Wikimedia thumbnail resized to maximum 1024 px width; otherwise unmodified.
commons_alternator_1242324,alternator,File:AlternoBMWV6.JPG,https://commons.wikimedia.org/wiki/File:AlternoBMWV6.JPG,Ton1~commonswiki,Own work,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,data/images/wikimedia/alternator/commons_alternator_1242324.jpg,22fbf9d524d2a9156432e27669877223d72e1404cb2b61636fc425673bc24429,Wikimedia thumbnail resized to maximum 1024 px width; otherwise unmodified.
