image_id,image_group_id,part_category,part_family,split,rank_within_category,image_path,sha256,width,height,mode,source_dataset,source_category,source_original_split,source_archive_path
v4_air_compressor_train_0059_2526446c8c41f002,sha256_2526446c8c41f002ccfa37b8192c96ba097dbd5de465706431af140c7dfd66a0,air_compressor,cooling_and_climate,train,59,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0059_2526446c8c41f002.jpg,2526446c8c41f002ccfa37b8192c96ba097dbd5de465706431af140c7dfd66a0,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/020.jpg
v4_air_compressor_train_0060_d4417d59acf58c40,sha256_d4417d59acf58c40e3a9371c8426baa6d27586ce87c730bc94499fa2c07523e0,air_compressor,cooling_and_climate,train,60,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0060_d4417d59acf58c40.jpg,d4417d59acf58c40e3a9371c8426baa6d27586ce87c730bc94499fa2c07523e0,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/026.jpg
v4_air_compressor_train_0061_26e933da8c5bce37,sha256_26e933da8c5bce37fb9d8610dc6f45f36bca486818caed4b2fc636842c22467a,air_compressor,cooling_and_climate,train,61,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0061_26e933da8c5bce37.jpg,26e933da8c5bce37fb9d8610dc6f45f36bca486818caed4b2fc636842c22467a,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/033.jpg
v4_air_compressor_train_0062_d832242eaf414e47,sha256_d832242eaf414e47324d43e70bd8a8d27c6801dd933785f1624450d12007a47d,air_compressor,cooling_and_climate,train,62,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0062_d832242eaf414e47.jpg,d832242eaf414e47324d43e70bd8a8d27c6801dd933785f1624450d12007a47d,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/161.jpg
v4_air_compressor_train_0063_2baf1ab002eebc06,sha256_2baf1ab002eebc06b84cfec780b8e57fc83abd205b5904f14d50cc3c14e2202d,air_compressor,cooling_and_climate,train,63,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0063_2baf1ab002eebc06.jpg,2baf1ab002eebc06b84cfec780b8e57fc83abd205b5904f14d50cc3c14e2202d,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/142.jpg
v4_air_compressor_train_0064_642c15eecf3d1247,sha256_642c15eecf3d12476c8eeec5e782959cb6a74e58789cbfe761b4c149536ce9fc,air_compressor,cooling_and_climate,train,64,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0064_642c15eecf3d1247.jpg,642c15eecf3d12476c8eeec5e782959cb6a74e58789cbfe761b4c149536ce9fc,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/136.jpg
v4_air_compressor_train_0065_7c623b2f90b0d451,sha256_7c623b2f90b0d451bed5d50e79b082cef564771490ef381b8c011524b50f30ab,air_compressor,cooling_and_climate,train,65,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0065_7c623b2f90b0d451.jpg,7c623b2f90b0d451bed5d50e79b082cef564771490ef381b8c011524b50f30ab,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/172.jpg
v4_air_compressor_train_0066_d0a41bb10bd11897,sha256_d0a41bb10bd1189781d51cdaac728017f3791c1efd6c559ae341bd27b9a26f70,air_compressor,cooling_and_climate,train,66,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0066_d0a41bb10bd11897.jpg,d0a41bb10bd1189781d51cdaac728017f3791c1efd6c559ae341bd27b9a26f70,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/067.jpg
v4_air_compressor_train_0067_3a231f178132a8c4,sha256_3a231f178132a8c4c28929208d940ff600897d72bb70f6d4fd698bb1d440a70b,air_compressor,cooling_and_climate,train,67,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0067_3a231f178132a8c4.jpg,3a231f178132a8c4c28929208d940ff600897d72bb70f6d4fd698bb1d440a70b,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,valid,car parts 50/valid/AIR COMPRESSOR/4.jpg
v4_air_compressor_train_0068_66c068641e2e1c0e,sha256_66c068641e2e1c0e0f10203c55988dbdea59c30e81a1a251092e29e70fc74321,air_compressor,cooling_and_climate,train,68,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0068_66c068641e2e1c0e.jpg,66c068641e2e1c0e0f10203c55988dbdea59c30e81a1a251092e29e70fc74321,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/128.jpg
