image_id,image_group_id,part_category,split,rank_within_category,image_path,sha256,source_dataset,source_dataset_root,source_split_ignored,split_seed
kaggle_afd95f276af3bb7d,kaggle50:alternator:kaggle_afd95f276af3bb7d,alternator,test,1,data/locked_test/dataset_v3/images/alternator/alternator_test_001_afd95f276af3bb7d.jpg,afd95f276af3bb7d25a85ab18cd7bfae3288a8a505200ec42b4782f9987de303,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_53dafd46cb928e3a,kaggle50:alternator:kaggle_53dafd46cb928e3a,alternator,test,2,data/locked_test/dataset_v3/images/alternator/alternator_test_002_53dafd46cb928e3a.jpg,53dafd46cb928e3add69532e89f1183665dccbc8092f316dc993ccd8a9abdf66,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_2794aaabc40321aa,kaggle50:alternator:kaggle_2794aaabc40321aa,alternator,test,3,data/locked_test/dataset_v3/images/alternator/alternator_test_003_2794aaabc40321aa.jpg,2794aaabc40321aafecb002205b212d565a734d74405a7d663376e05943e3c82,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_bfb098683a94f653,kaggle50:alternator:kaggle_bfb098683a94f653,alternator,test,4,data/locked_test/dataset_v3/images/alternator/alternator_test_004_bfb098683a94f653.jpg,bfb098683a94f653d1fb462b933466490c1ec99a65cc84deb886b7ec7f211b05,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_a1101f0bfd35376b,kaggle50:alternator:kaggle_a1101f0bfd35376b,alternator,test,5,data/locked_test/dataset_v3/images/alternator/alternator_test_005_a1101f0bfd35376b.jpg,a1101f0bfd35376b1cb86928c1dda5c231275dff329f9f55edd790f7a1cfb5dd,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_e88614c7a7c36a07,kaggle50:alternator:kaggle_e88614c7a7c36a07,alternator,test,6,data/locked_test/dataset_v3/images/alternator/alternator_test_006_e88614c7a7c36a07.jpg,e88614c7a7c36a0745a1811028643b5faf534a4e02d57f82199e5f0c99e497af,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_87d2d0ea0064d8c1,kaggle50:alternator:kaggle_87d2d0ea0064d8c1,alternator,test,7,data/locked_test/dataset_v3/images/alternator/alternator_test_007_87d2d0ea0064d8c1.jpg,87d2d0ea0064d8c1963f7f6f6237ff6f0bee52313ca6de9725ebf27ea4ba25d0,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_6bde879f2a21b42a,kaggle50:alternator:kaggle_6bde879f2a21b42a,alternator,test,8,data/locked_test/dataset_v3/images/alternator/alternator_test_008_6bde879f2a21b42a.jpg,6bde879f2a21b42ac3e06d075c00b52544cc5b13758ed6b6a90d0c140f68ab1d,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_2ffc7f006fc48e9e,kaggle50:alternator:kaggle_2ffc7f006fc48e9e,alternator,test,9,data/locked_test/dataset_v3/images/alternator/alternator_test_009_2ffc7f006fc48e9e.jpg,2ffc7f006fc48e9e4163c4347f5a3484f2fa1b211b0716e2a7058f6d4db02fbd,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_8328d1847701fa3d,kaggle50:alternator:kaggle_8328d1847701fa3d,alternator,test,10,data/locked_test/dataset_v3/images/alternator/alternator_test_010_8328d1847701fa3d.jpg,8328d1847701fa3d072d1a38bb585fd3bd149179e63e6e5ca06ee9a30ad66e51,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_f7b48bab65190bfb,kaggle50:brake_disc:kaggle_f7b48bab65190bfb,brake_disc,test,1,data/locked_test/dataset_v3/images/brake_disc/brake_disc_test_001_f7b48bab65190bfb.jpg,f7b48bab65190bfb634915d2b8a6097b3b471ada5f8fad021233fe9b4f2f3e01,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_3daceab8eae4bc5f,kaggle50:brake_disc:kaggle_3daceab8eae4bc5f,brake_disc,test,2,data/locked_test/dataset_v3/images/brake_disc/brake_disc_test_002_3daceab8eae4bc5f.jpg,3daceab8eae4bc5f760df47aa3d32e10a769efb81b744827916dee1c04c50a19,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_386dabe6bfa63bd6,kaggle50:brake_disc:kaggle_386dabe6bfa63bd6,brake_disc,test,3,data/locked_test/dataset_v3/images/brake_disc/brake_disc_test_003_386dabe6bfa63bd6.jpg,386dabe6bfa63bd658b9f197940868adbf920cad92871d68cd83cae4efdedeb2,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_ca84654b256c6161,kaggle50:brake_disc:kaggle_ca84654b256c6161,brake_disc,test,4,data/locked_test/dataset_v3/images/brake_disc/brake_disc_test_004_ca84654b256c6161.jpg,ca84654b256c61613be97db1a2bd01480530567dcdd493046161ea5ea602ba65,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_9d745cfc2e3b4a17,kaggle50:brake_disc:kaggle_9d745cfc2e3b4a17,brake_disc,test,5,data/locked_test/dataset_v3/images/brake_disc/brake_disc_test_005_9d745cfc2e3b4a17.jpg,9d745cfc2e3b4a17330e6b136757073d91d73c8d7f1872dcae0f35f5a5d0204b,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_65cf2186d4a5c527,kaggle50:brake_disc:kaggle_65cf2186d4a5c527,brake_disc,test,6,data/locked_test/dataset_v3/images/brake_disc/brake_disc_test_006_65cf2186d4a5c527.jpg,65cf2186d4a5c52750d79f40f587f77b9c13757b3d29a4f55662fe3a6ad78a77,gpiosenka/car-parts-40-classes,car parts 50,test,dataset-v3-split-v1
kaggle_0c31e6ce13e74926,kaggle50:brake_disc:kaggle_0c31e6ce13e74926,brake_disc,test,7,data/locked_test/dataset_v3/images/brake_disc/brake_disc_test_007_0c31e6ce13e74926.jpg,0c31e6ce13e749263aa11fce3fd7c1a1a415b282602b178aa1c4ee8c3cdf1dfc,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_9561cc8d1347f616,kaggle50:brake_disc:kaggle_9561cc8d1347f616,brake_disc,test,8,data/locked_test/dataset_v3/images/brake_disc/brake_disc_test_008_9561cc8d1347f616.jpg,9561cc8d1347f6167e2bddd7ad1b0dbaaa12ee9ba1d44f84436dc43c045c4be1,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_596ea0f7a12db001,kaggle50:brake_disc:kaggle_596ea0f7a12db001,brake_disc,test,9,data/locked_test/dataset_v3/images/brake_disc/brake_disc_test_009_596ea0f7a12db001.jpg,596ea0f7a12db001081356604009ed3d09781ef9d1a92d599ec641daa98a33b3,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_8cf8f79b4e754446,kaggle50:brake_disc:kaggle_8cf8f79b4e754446,brake_disc,test,10,data/locked_test/dataset_v3/images/brake_disc/brake_disc_test_010_8cf8f79b4e754446.jpg,8cf8f79b4e7544464bff140130276791c060a2a14d5ab154c0b2108ac15ad8c5,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_3178c85470aa6963,kaggle50:brake_pad:kaggle_3178c85470aa6963,brake_pad,test,1,data/locked_test/dataset_v3/images/brake_pad/brake_pad_test_001_3178c85470aa6963.jpg,3178c85470aa6963480fdf9424c7873802300642ef8df382934127e4a573a90e,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_0b3ec66a89b5fbe1,kaggle50:brake_pad:kaggle_0b3ec66a89b5fbe1,brake_pad,test,2,data/locked_test/dataset_v3/images/brake_pad/brake_pad_test_002_0b3ec66a89b5fbe1.jpg,0b3ec66a89b5fbe1336af39cd65c2301798e6f2fdb335b74d46b0f40dcf079d0,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_1214a4f476a023ee,kaggle50:brake_pad:kaggle_1214a4f476a023ee,brake_pad,test,3,data/locked_test/dataset_v3/images/brake_pad/brake_pad_test_003_1214a4f476a023ee.jpg,1214a4f476a023eeaff0541f29edd9b4dc9a36ad64ac8996637401ff6ea94acb,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_bfb90f6f428a393f,kaggle50:brake_pad:kaggle_bfb90f6f428a393f,brake_pad,test,4,data/locked_test/dataset_v3/images/brake_pad/brake_pad_test_004_bfb90f6f428a393f.jpg,bfb90f6f428a393f473c6c2a4636cc30d13157569e2f23e5f2306cbe8af2a798,gpiosenka/car-parts-40-classes,car parts 50,test,dataset-v3-split-v1
kaggle_bba0d7682794c697,kaggle50:brake_pad:kaggle_bba0d7682794c697,brake_pad,test,5,data/locked_test/dataset_v3/images/brake_pad/brake_pad_test_005_bba0d7682794c697.jpg,bba0d7682794c69703a811e82a2150ef8090e02edd07f7e8899f078a1b0ff731,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_3d16f7513d038879,kaggle50:brake_pad:kaggle_3d16f7513d038879,brake_pad,test,6,data/locked_test/dataset_v3/images/brake_pad/brake_pad_test_006_3d16f7513d038879.jpg,3d16f7513d0388795cb0ae188dfed7d1f4347d7e97fa023275bb49cbd0f9a2e0,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_86c96d7d232c214c,kaggle50:brake_pad:kaggle_86c96d7d232c214c,brake_pad,test,7,data/locked_test/dataset_v3/images/brake_pad/brake_pad_test_007_86c96d7d232c214c.jpg,86c96d7d232c214c6f0fe5b689712b571e8efded133f2a6809b1ecc68394de35,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_52d36d907755b1a8,kaggle50:brake_pad:kaggle_52d36d907755b1a8,brake_pad,test,8,data/locked_test/dataset_v3/images/brake_pad/brake_pad_test_008_52d36d907755b1a8.jpg,52d36d907755b1a8f17e2600bf08ad43fe89a0f038d77aed527f14dd74cd0350,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
kaggle_7d62eb5eb0a67663,kaggle50:brake_pad:kaggle_7d62eb5eb0a67663,brake_pad,test,9,data/locked_test/dataset_v3/images/brake_pad/brake_pad_test_009_7d62eb5eb0a67663.jpg,7d62eb5eb0a676636c060af62840aef17ee6ae8c46460886de4e5e714e9a0971,gpiosenka/car-parts-40-classes,car parts 50,train,dataset-v3-split-v1
