sample_id,image_id,part_group_id,object_group_id,image_path,part_family,part_category,text_category,text_family,description,label,source
v4_air_compressor_train_0117_0726fea001be3bfc_match_01,v4_air_compressor_train_0117_0726fea001be3bfc,sha256_0726fea001be3bfcd000a7161adc6e751018414fb512532dcdb1d02036f6b5da,sha256_0726fea001be3bfcd000a7161adc6e751018414fb512532dcdb1d02036f6b5da,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0117_0726fea001be3bfc.jpg,cooling_and_climate,air_compressor,air_compressor,cooling_and_climate,This listing identifies the component as air compressor.,MATCH,dataset_v4
v4_air_compressor_train_0178_085a4829a2ce8002_match_01,v4_air_compressor_train_0178_085a4829a2ce8002,sha256_085a4829a2ce8002472b27a837a7f69109c41960ac0e13fdbd9a3ffb662ad06e,sha256_085a4829a2ce8002472b27a837a7f69109c41960ac0e13fdbd9a3ffb662ad06e,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0178_085a4829a2ce8002.jpg,cooling_and_climate,air_compressor,air_compressor,cooling_and_climate,The description names the automotive part as air compressor.,MATCH,dataset_v4
v4_air_compressor_train_0109_086b8530de06be41_match_01,v4_air_compressor_train_0109_086b8530de06be41,sha256_086b8530de06be4118394f3c3284039410c79af9a2a44eb795b883a3f69eb50c,sha256_086b8530de06be4118394f3c3284039410c79af9a2a44eb795b883a3f69eb50c,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0109_086b8530de06be41.jpg,cooling_and_climate,air_compressor,air_compressor,cooling_and_climate,This listing identifies the component as air compressor.,MATCH,dataset_v4
v4_air_compressor_train_0166_0a46e8712ab6a1ab_match_01,v4_air_compressor_train_0166_0a46e8712ab6a1ab,sha256_0a46e8712ab6a1abfc7fa2633f0be9f8ad1ca9a2baa4bba670401659daa77d6f,sha256_0a46e8712ab6a1abfc7fa2633f0be9f8ad1ca9a2baa4bba670401659daa77d6f,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0166_0a46e8712ab6a1ab.jpg,cooling_and_climate,air_compressor,air_compressor,cooling_and_climate,The description names the automotive part as air compressor.,MATCH,dataset_v4
v4_air_compressor_train_0140_0a7c353a689d179a_match_01,v4_air_compressor_train_0140_0a7c353a689d179a,sha256_0a7c353a689d179a97c574986a6db1cbada8f48101a09f2d31d17604e6ce4a37,sha256_0a7c353a689d179a97c574986a6db1cbada8f48101a09f2d31d17604e6ce4a37,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0140_0a7c353a689d179a.jpg,cooling_and_climate,air_compressor,air_compressor,cooling_and_climate,This listing identifies the component as air compressor.,MATCH,dataset_v4
v4_air_compressor_train_0113_0cc8630c29dafb01_match_01,v4_air_compressor_train_0113_0cc8630c29dafb01,sha256_0cc8630c29dafb019dcd3bd186022d84994f89e94d7823cd15738019cfd48680,sha256_0cc8630c29dafb019dcd3bd186022d84994f89e94d7823cd15738019cfd48680,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0113_0cc8630c29dafb01.jpg,cooling_and_climate,air_compressor,air_compressor,cooling_and_climate,The description names the automotive part as air compressor.,MATCH,dataset_v4
v4_air_compressor_train_0074_0de28ede464659d3_match_01,v4_air_compressor_train_0074_0de28ede464659d3,sha256_0de28ede464659d313aeaa032244ee59225bbde648f796b48485981c882c49d9,sha256_0de28ede464659d313aeaa032244ee59225bbde648f796b48485981c882c49d9,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0074_0de28ede464659d3.jpg,cooling_and_climate,air_compressor,air_compressor,cooling_and_climate,This listing identifies the component as air compressor.,MATCH,dataset_v4
v4_air_compressor_train_0187_0e1250ddd4a62ddf_match_01,v4_air_compressor_train_0187_0e1250ddd4a62ddf,sha256_0e1250ddd4a62ddfd8678b5cba97878e41b449c6d62b219f23057118701fd3ad,sha256_0e1250ddd4a62ddfd8678b5cba97878e41b449c6d62b219f23057118701fd3ad,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0187_0e1250ddd4a62ddf.jpg,cooling_and_climate,air_compressor,air_compressor,cooling_and_climate,The description names the automotive part as air compressor.,MATCH,dataset_v4
v4_air_compressor_train_0190_1289d01b4cd7cc32_match_01,v4_air_compressor_train_0190_1289d01b4cd7cc32,sha256_1289d01b4cd7cc32abb4e968d34c724e2c552bb1b0e13d459cfd19934fd3668e,sha256_1289d01b4cd7cc32abb4e968d34c724e2c552bb1b0e13d459cfd19934fd3668e,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0190_1289d01b4cd7cc32.jpg,cooling_and_climate,air_compressor,air_compressor,cooling_and_climate,This listing identifies the component as air compressor.,MATCH,dataset_v4
v4_air_compressor_train_0084_1441cd22174ec3dc_match_01,v4_air_compressor_train_0084_1441cd22174ec3dc,sha256_1441cd22174ec3dc514f7f6b99a394b9b97529660106e22aaa5f1f94262e9038,sha256_1441cd22174ec3dc514f7f6b99a394b9b97529660106e22aaa5f1f94262e9038,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0084_1441cd22174ec3dc.jpg,cooling_and_climate,air_compressor,air_compressor,cooling_and_climate,The description names the automotive part as air compressor.,MATCH,dataset_v4
