sample_id,image_id,part_group_id,object_group_id,image_path,part_family,part_category,text_category,description,label,source
v3_train_kaggle_5dcba558fd83fc8f_match_1,kaggle_5dcba558fd83fc8f,kaggle50:alternator:kaggle_5dcba558fd83fc8f,kaggle50:alternator:kaggle_5dcba558fd83fc8f,data/images/dataset_v3/train/alternator/alternator_train_001_5dcba558fd83fc8f.jpg,engine_support,alternator,alternator,"Automotive component: automotive alternator, part of the engine-support and electrical group.",MATCH,dataset_v3
v3_train_kaggle_5dcba558fd83fc8f_partial_match_1,kaggle_5dcba558fd83fc8f,kaggle50:alternator:kaggle_5dcba558fd83fc8f,kaggle50:alternator:kaggle_5dcba558fd83fc8f,data/images/dataset_v3/train/alternator/alternator_train_001_5dcba558fd83fc8f.jpg,engine_support,alternator,starter,"Automotive component: automotive starter motor, part of the engine-support and electrical group.",PARTIAL_MATCH,dataset_v3
v3_train_kaggle_5dcba558fd83fc8f_mismatch_1,kaggle_5dcba558fd83fc8f,kaggle50:alternator:kaggle_5dcba558fd83fc8f,kaggle50:alternator:kaggle_5dcba558fd83fc8f,data/images/dataset_v3/train/alternator/alternator_train_001_5dcba558fd83fc8f.jpg,engine_support,alternator,coil_spring,"Automotive component: suspension coil spring, part of the vehicle chassis group.",MISMATCH,dataset_v3
v3_train_kaggle_5dcba558fd83fc8f_match_2,kaggle_5dcba558fd83fc8f,kaggle50:alternator:kaggle_5dcba558fd83fc8f,kaggle50:alternator:kaggle_5dcba558fd83fc8f,data/images/dataset_v3/train/alternator/alternator_train_001_5dcba558fd83fc8f.jpg,engine_support,alternator,alternator,"Vehicle component identified as automotive alternator, designed to convert mechanical rotation into electrical power and recharge the battery.",MATCH,dataset_v3
v3_train_kaggle_5dcba558fd83fc8f_partial_match_2,kaggle_5dcba558fd83fc8f,kaggle50:alternator:kaggle_5dcba558fd83fc8f,kaggle50:alternator:kaggle_5dcba558fd83fc8f,data/images/dataset_v3/train/alternator/alternator_train_001_5dcba558fd83fc8f.jpg,engine_support,alternator,starter,"Vehicle component identified as automotive starter motor, designed to turn the engine crankshaft during starting using battery power.",PARTIAL_MATCH,dataset_v3
v3_train_kaggle_5dcba558fd83fc8f_mismatch_2,kaggle_5dcba558fd83fc8f,kaggle50:alternator:kaggle_5dcba558fd83fc8f,kaggle50:alternator:kaggle_5dcba558fd83fc8f,data/images/dataset_v3/train/alternator/alternator_train_001_5dcba558fd83fc8f.jpg,engine_support,alternator,coil_spring,"Vehicle component identified as suspension coil spring, designed to support vehicle weight and store energy as the wheel moves.",MISMATCH,dataset_v3
v3_train_kaggle_7f558e5c9dca70ab_match_1,kaggle_7f558e5c9dca70ab,kaggle50:alternator:kaggle_7f558e5c9dca70ab,kaggle50:alternator:kaggle_7f558e5c9dca70ab,data/images/dataset_v3/train/alternator/alternator_train_002_7f558e5c9dca70ab.jpg,engine_support,alternator,alternator,"Vehicle component identified as automotive alternator, designed to convert mechanical rotation into electrical power and recharge the battery.",MATCH,dataset_v3
v3_train_kaggle_7f558e5c9dca70ab_partial_match_1,kaggle_7f558e5c9dca70ab,kaggle50:alternator:kaggle_7f558e5c9dca70ab,kaggle50:alternator:kaggle_7f558e5c9dca70ab,data/images/dataset_v3/train/alternator/alternator_train_002_7f558e5c9dca70ab.jpg,engine_support,alternator,starter,"Vehicle component identified as automotive starter motor, designed to turn the engine crankshaft during starting using battery power.",PARTIAL_MATCH,dataset_v3
v3_train_kaggle_7f558e5c9dca70ab_mismatch_1,kaggle_7f558e5c9dca70ab,kaggle50:alternator:kaggle_7f558e5c9dca70ab,kaggle50:alternator:kaggle_7f558e5c9dca70ab,data/images/dataset_v3/train/alternator/alternator_train_002_7f558e5c9dca70ab.jpg,engine_support,alternator,brake_pad,"Vehicle component identified as automotive brake pad, designed to press friction material against a brake disc to slow the vehicle.",MISMATCH,dataset_v3
v3_train_kaggle_7f558e5c9dca70ab_match_2,kaggle_7f558e5c9dca70ab,kaggle50:alternator:kaggle_7f558e5c9dca70ab,kaggle50:alternator:kaggle_7f558e5c9dca70ab,data/images/dataset_v3/train/alternator/alternator_train_002_7f558e5c9dca70ab.jpg,engine_support,alternator,alternator,"This component is the automotive alternator, recognizable by a compact ventilated metal housing with a pulley.",MATCH,dataset_v3
v3_train_kaggle_7f558e5c9dca70ab_partial_match_2,kaggle_7f558e5c9dca70ab,kaggle50:alternator:kaggle_7f558e5c9dca70ab,kaggle50:alternator:kaggle_7f558e5c9dca70ab,data/images/dataset_v3/train/alternator/alternator_train_002_7f558e5c9dca70ab.jpg,engine_support,alternator,starter,"This component is the automotive starter motor, recognizable by a compact electric motor with a solenoid and drive gear.",PARTIAL_MATCH,dataset_v3
v3_train_kaggle_7f558e5c9dca70ab_mismatch_2,kaggle_7f558e5c9dca70ab,kaggle50:alternator:kaggle_7f558e5c9dca70ab,kaggle50:alternator:kaggle_7f558e5c9dca70ab,data/images/dataset_v3/train/alternator/alternator_train_002_7f558e5c9dca70ab.jpg,engine_support,alternator,coil_spring,"This component is the suspension coil spring, recognizable by a helical steel spring with several visible coils.",MISMATCH,dataset_v3
v3_train_kaggle_42410dfafcdf6a70_match_1,kaggle_42410dfafcdf6a70,kaggle50:alternator:kaggle_42410dfafcdf6a70,kaggle50:alternator:kaggle_42410dfafcdf6a70,data/images/dataset_v3/train/alternator/alternator_train_003_42410dfafcdf6a70.jpg,engine_support,alternator,alternator,"This component is the automotive alternator, recognizable by a compact ventilated metal housing with a pulley.",MATCH,dataset_v3
v3_train_kaggle_42410dfafcdf6a70_partial_match_1,kaggle_42410dfafcdf6a70,kaggle50:alternator:kaggle_42410dfafcdf6a70,kaggle50:alternator:kaggle_42410dfafcdf6a70,data/images/dataset_v3/train/alternator/alternator_train_003_42410dfafcdf6a70.jpg,engine_support,alternator,starter,"This component is the automotive starter motor, recognizable by a compact electric motor with a solenoid and drive gear.",PARTIAL_MATCH,dataset_v3
v3_train_kaggle_42410dfafcdf6a70_mismatch_1,kaggle_42410dfafcdf6a70,kaggle50:alternator:kaggle_42410dfafcdf6a70,kaggle50:alternator:kaggle_42410dfafcdf6a70,data/images/dataset_v3/train/alternator/alternator_train_003_42410dfafcdf6a70.jpg,engine_support,alternator,brake_disc,"This component is the brake disc or rotor, recognizable by a circular machined metal rotor, sometimes ventilated.",MISMATCH,dataset_v3
v3_train_kaggle_42410dfafcdf6a70_match_2,kaggle_42410dfafcdf6a70,kaggle50:alternator:kaggle_42410dfafcdf6a70,kaggle50:alternator:kaggle_42410dfafcdf6a70,data/images/dataset_v3/train/alternator/alternator_train_003_42410dfafcdf6a70.jpg,engine_support,alternator,alternator,Road-vehicle replacement part: automotive alternator; its job is to convert mechanical rotation into electrical power and recharge the battery.,MATCH,dataset_v3
v3_train_kaggle_42410dfafcdf6a70_partial_match_2,kaggle_42410dfafcdf6a70,kaggle50:alternator:kaggle_42410dfafcdf6a70,kaggle50:alternator:kaggle_42410dfafcdf6a70,data/images/dataset_v3/train/alternator/alternator_train_003_42410dfafcdf6a70.jpg,engine_support,alternator,starter,Road-vehicle replacement part: automotive starter motor; its job is to turn the engine crankshaft during starting using battery power.,PARTIAL_MATCH,dataset_v3
v3_train_kaggle_42410dfafcdf6a70_mismatch_2,kaggle_42410dfafcdf6a70,kaggle50:alternator:kaggle_42410dfafcdf6a70,kaggle50:alternator:kaggle_42410dfafcdf6a70,data/images/dataset_v3/train/alternator/alternator_train_003_42410dfafcdf6a70.jpg,engine_support,alternator,brake_pad,Road-vehicle replacement part: automotive brake pad; its job is to press friction material against a brake disc to slow the vehicle.,MISMATCH,dataset_v3
v3_train_kaggle_fa66e000d762950c_match_1,kaggle_fa66e000d762950c,kaggle50:alternator:kaggle_fa66e000d762950c,kaggle50:alternator:kaggle_fa66e000d762950c,data/images/dataset_v3/train/alternator/alternator_train_004_fa66e000d762950c.jpg,engine_support,alternator,alternator,Road-vehicle replacement part: automotive alternator; its job is to convert mechanical rotation into electrical power and recharge the battery.,MATCH,dataset_v3
v3_train_kaggle_fa66e000d762950c_partial_match_1,kaggle_fa66e000d762950c,kaggle50:alternator:kaggle_fa66e000d762950c,kaggle50:alternator:kaggle_fa66e000d762950c,data/images/dataset_v3/train/alternator/alternator_train_004_fa66e000d762950c.jpg,engine_support,alternator,starter,Road-vehicle replacement part: automotive starter motor; its job is to turn the engine crankshaft during starting using battery power.,PARTIAL_MATCH,dataset_v3
v3_train_kaggle_fa66e000d762950c_mismatch_1,kaggle_fa66e000d762950c,kaggle50:alternator:kaggle_fa66e000d762950c,kaggle50:alternator:kaggle_fa66e000d762950c,data/images/dataset_v3/train/alternator/alternator_train_004_fa66e000d762950c.jpg,engine_support,alternator,headlight,Road-vehicle replacement part: front headlight assembly; its job is to illuminate the road ahead and make the vehicle visible from the front.,MISMATCH,dataset_v3
v3_train_kaggle_fa66e000d762950c_match_2,kaggle_fa66e000d762950c,kaggle50:alternator:kaggle_fa66e000d762950c,kaggle50:alternator:kaggle_fa66e000d762950c,data/images/dataset_v3/train/alternator/alternator_train_004_fa66e000d762950c.jpg,engine_support,alternator,alternator,"Automotive component: automotive alternator, part of the engine-support and electrical group.",MATCH,dataset_v3
v3_train_kaggle_fa66e000d762950c_partial_match_2,kaggle_fa66e000d762950c,kaggle50:alternator:kaggle_fa66e000d762950c,kaggle50:alternator:kaggle_fa66e000d762950c,data/images/dataset_v3/train/alternator/alternator_train_004_fa66e000d762950c.jpg,engine_support,alternator,starter,"Automotive component: automotive starter motor, part of the engine-support and electrical group.",PARTIAL_MATCH,dataset_v3
v3_train_kaggle_fa66e000d762950c_mismatch_2,kaggle_fa66e000d762950c,kaggle50:alternator:kaggle_fa66e000d762950c,kaggle50:alternator:kaggle_fa66e000d762950c,data/images/dataset_v3/train/alternator/alternator_train_004_fa66e000d762950c.jpg,engine_support,alternator,brake_disc,"Automotive component: brake disc or rotor, part of the vehicle chassis group.",MISMATCH,dataset_v3
v3_train_kaggle_20f479228818e7f1_match_1,kaggle_20f479228818e7f1,kaggle50:alternator:kaggle_20f479228818e7f1,kaggle50:alternator:kaggle_20f479228818e7f1,data/images/dataset_v3/train/alternator/alternator_train_005_20f479228818e7f1.jpg,engine_support,alternator,alternator,"Automotive component: automotive alternator, part of the engine-support and electrical group.",MATCH,dataset_v3
v3_train_kaggle_20f479228818e7f1_partial_match_1,kaggle_20f479228818e7f1,kaggle50:alternator:kaggle_20f479228818e7f1,kaggle50:alternator:kaggle_20f479228818e7f1,data/images/dataset_v3/train/alternator/alternator_train_005_20f479228818e7f1.jpg,engine_support,alternator,starter,"Automotive component: automotive starter motor, part of the engine-support and electrical group.",PARTIAL_MATCH,dataset_v3
v3_train_kaggle_20f479228818e7f1_mismatch_1,kaggle_20f479228818e7f1,kaggle50:alternator:kaggle_20f479228818e7f1,kaggle50:alternator:kaggle_20f479228818e7f1,data/images/dataset_v3/train/alternator/alternator_train_005_20f479228818e7f1.jpg,engine_support,alternator,brake_pad,"Automotive component: automotive brake pad, part of the vehicle chassis group.",MISMATCH,dataset_v3
v3_train_kaggle_20f479228818e7f1_match_2,kaggle_20f479228818e7f1,kaggle50:alternator:kaggle_20f479228818e7f1,kaggle50:alternator:kaggle_20f479228818e7f1,data/images/dataset_v3/train/alternator/alternator_train_005_20f479228818e7f1.jpg,engine_support,alternator,alternator,"Vehicle component identified as automotive alternator, designed to convert mechanical rotation into electrical power and recharge the battery.",MATCH,dataset_v3
v3_train_kaggle_20f479228818e7f1_partial_match_2,kaggle_20f479228818e7f1,kaggle50:alternator:kaggle_20f479228818e7f1,kaggle50:alternator:kaggle_20f479228818e7f1,data/images/dataset_v3/train/alternator/alternator_train_005_20f479228818e7f1.jpg,engine_support,alternator,starter,"Vehicle component identified as automotive starter motor, designed to turn the engine crankshaft during starting using battery power.",PARTIAL_MATCH,dataset_v3
v3_train_kaggle_20f479228818e7f1_mismatch_2,kaggle_20f479228818e7f1,kaggle50:alternator:kaggle_20f479228818e7f1,kaggle50:alternator:kaggle_20f479228818e7f1,data/images/dataset_v3/train/alternator/alternator_train_005_20f479228818e7f1.jpg,engine_support,alternator,headlight,"Vehicle component identified as front headlight assembly, designed to illuminate the road ahead and make the vehicle visible from the front.",MISMATCH,dataset_v3
v3_train_kaggle_5748436a19b73abd_match_1,kaggle_5748436a19b73abd,kaggle50:alternator:kaggle_5748436a19b73abd,kaggle50:alternator:kaggle_5748436a19b73abd,data/images/dataset_v3/train/alternator/alternator_train_006_5748436a19b73abd.jpg,engine_support,alternator,alternator,"Vehicle component identified as automotive alternator, designed to convert mechanical rotation into electrical power and recharge the battery.",MATCH,dataset_v3
v3_train_kaggle_5748436a19b73abd_partial_match_1,kaggle_5748436a19b73abd,kaggle50:alternator:kaggle_5748436a19b73abd,kaggle50:alternator:kaggle_5748436a19b73abd,data/images/dataset_v3/train/alternator/alternator_train_006_5748436a19b73abd.jpg,engine_support,alternator,starter,"Vehicle component identified as automotive starter motor, designed to turn the engine crankshaft during starting using battery power.",PARTIAL_MATCH,dataset_v3
v3_train_kaggle_5748436a19b73abd_mismatch_1,kaggle_5748436a19b73abd,kaggle50:alternator:kaggle_5748436a19b73abd,kaggle50:alternator:kaggle_5748436a19b73abd,data/images/dataset_v3/train/alternator/alternator_train_006_5748436a19b73abd.jpg,engine_support,alternator,brake_pad,"Vehicle component identified as automotive brake pad, designed to press friction material against a brake disc to slow the vehicle.",MISMATCH,dataset_v3
v3_train_kaggle_5748436a19b73abd_match_2,kaggle_5748436a19b73abd,kaggle50:alternator:kaggle_5748436a19b73abd,kaggle50:alternator:kaggle_5748436a19b73abd,data/images/dataset_v3/train/alternator/alternator_train_006_5748436a19b73abd.jpg,engine_support,alternator,alternator,"This component is the automotive alternator, recognizable by a compact ventilated metal housing with a pulley.",MATCH,dataset_v3
v3_train_kaggle_5748436a19b73abd_partial_match_2,kaggle_5748436a19b73abd,kaggle50:alternator:kaggle_5748436a19b73abd,kaggle50:alternator:kaggle_5748436a19b73abd,data/images/dataset_v3/train/alternator/alternator_train_006_5748436a19b73abd.jpg,engine_support,alternator,starter,"This component is the automotive starter motor, recognizable by a compact electric motor with a solenoid and drive gear.",PARTIAL_MATCH,dataset_v3
v3_train_kaggle_5748436a19b73abd_mismatch_2,kaggle_5748436a19b73abd,kaggle50:alternator:kaggle_5748436a19b73abd,kaggle50:alternator:kaggle_5748436a19b73abd,data/images/dataset_v3/train/alternator/alternator_train_006_5748436a19b73abd.jpg,engine_support,alternator,brake_disc,"This component is the brake disc or rotor, recognizable by a circular machined metal rotor, sometimes ventilated.",MISMATCH,dataset_v3
v3_train_kaggle_719e0fe4675827d7_match_1,kaggle_719e0fe4675827d7,kaggle50:alternator:kaggle_719e0fe4675827d7,kaggle50:alternator:kaggle_719e0fe4675827d7,data/images/dataset_v3/train/alternator/alternator_train_007_719e0fe4675827d7.jpg,engine_support,alternator,alternator,"This component is the automotive alternator, recognizable by a compact ventilated metal housing with a pulley.",MATCH,dataset_v3
v3_train_kaggle_719e0fe4675827d7_partial_match_1,kaggle_719e0fe4675827d7,kaggle50:alternator:kaggle_719e0fe4675827d7,kaggle50:alternator:kaggle_719e0fe4675827d7,data/images/dataset_v3/train/alternator/alternator_train_007_719e0fe4675827d7.jpg,engine_support,alternator,starter,"This component is the automotive starter motor, recognizable by a compact electric motor with a solenoid and drive gear.",PARTIAL_MATCH,dataset_v3
v3_train_kaggle_719e0fe4675827d7_mismatch_1,kaggle_719e0fe4675827d7,kaggle50:alternator:kaggle_719e0fe4675827d7,kaggle50:alternator:kaggle_719e0fe4675827d7,data/images/dataset_v3/train/alternator/alternator_train_007_719e0fe4675827d7.jpg,engine_support,alternator,taillight,"This component is the rear taillight assembly, recognizable by a red or multicolour lens assembly fitted to the rear of a vehicle.",MISMATCH,dataset_v3
v3_train_kaggle_719e0fe4675827d7_match_2,kaggle_719e0fe4675827d7,kaggle50:alternator:kaggle_719e0fe4675827d7,kaggle50:alternator:kaggle_719e0fe4675827d7,data/images/dataset_v3/train/alternator/alternator_train_007_719e0fe4675827d7.jpg,engine_support,alternator,alternator,Road-vehicle replacement part: automotive alternator; its job is to convert mechanical rotation into electrical power and recharge the battery.,MATCH,dataset_v3
v3_train_kaggle_719e0fe4675827d7_partial_match_2,kaggle_719e0fe4675827d7,kaggle50:alternator:kaggle_719e0fe4675827d7,kaggle50:alternator:kaggle_719e0fe4675827d7,data/images/dataset_v3/train/alternator/alternator_train_007_719e0fe4675827d7.jpg,engine_support,alternator,starter,Road-vehicle replacement part: automotive starter motor; its job is to turn the engine crankshaft during starting using battery power.,PARTIAL_MATCH,dataset_v3
