image_id,part_category,part_family,image_path,sha256,width,height,mode,source_type
external_v1_alternator_01_1119960a24b5,alternator,electrical_starting_charging,external_audit/images/alternator/external_v1_1_alternator_01.jpg,1119960a24b5ab8dda3fb73d3682a7270f4aee3f2ad0b0eae5ac440edc296460,1280,960,RGB,wikimedia_commons
external_v1_alternator_02_22fbf9d524d2,alternator,electrical_starting_charging,external_audit/images/alternator/external_v1_1_alternator_02.jpg,22fbf9d524d2a9156432e27669877223d72e1404cb2b61636fc425673bc24429,1280,960,RGB,wikimedia_commons
external_v1_alternator_03_3eda97ca27dd,alternator,electrical_starting_charging,external_audit/images/alternator/external_v1_1_alternator_03.jpg,3eda97ca27ddd6424ec2724e127f276c39ffcf76d5a411729371c40c6bfcfaac,1280,1707,RGB,wikimedia_commons
external_v1_alternator_04_5db03cfa561b,alternator,electrical_starting_charging,external_audit/images/alternator/external_v1_1_alternator_04.jpg,5db03cfa561bb3bf2f8bbd1a25d415d154ecd70e0012eeff483fd037b49ffdcc,1280,1405,RGB,wikimedia_commons
external_v1_alternator_05_1580f7bb67e9,alternator,electrical_starting_charging,external_audit/images/alternator/external_v1_1_alternator_05.jpg,1580f7bb67e9f3792482220eb2108eaccdc38c85326176ded57e7810dfea39e4,1280,1339,RGB,wikimedia_commons
external_v1_alternator_06_2763d44ba675,alternator,electrical_starting_charging,external_audit/images/alternator/external_v1_1_alternator_06.jpg,2763d44ba67504f2a2e4d2766e36ef14fca70251cbe48f717272d9e720822568,528,400,RGB,wikimedia_commons
external_v1_alternator_07_273fe98d6874,alternator,electrical_starting_charging,external_audit/images/alternator/external_v1_1_alternator_07.jpg,273fe98d6874061b3cca3791480276d6a5a3b79beecd635d3fa09030a25e0b06,640,480,RGB,wikimedia_commons
external_v1_alternator_08_c2429694e4c0,alternator,electrical_starting_charging,external_audit/images/alternator/external_v1_1_alternator_08.jpg,c2429694e4c0f4a87b470c2edbb06a07bd62076197a42d3dff3ae374a99b01b2,640,480,RGB,wikimedia_commons
external_v1_alternator_09_8717db8608f5,alternator,electrical_starting_charging,external_audit/images/alternator/external_v1_1_alternator_09.jpg,8717db8608f5293ce9cad2ecfe84a387f9b9e1e36330f730804633971c8b9299,1280,1010,RGB,wikimedia_commons
external_v1_alternator_10_9fb8a04100ee,alternator,electrical_starting_charging,external_audit/images/alternator/external_v1_1_alternator_10.png,9fb8a04100eec3326e3be050e3edeb0ea121d6f23b5270101c1c6171aa1ce3f0,509,464,RGB,wikimedia_commons
external_v1_headlight_01_ebb53b0664ff,headlight,lighting,external_audit/images/headlight/external_v1_1_headlight_01.jpg,ebb53b0664ffc057a24689f15e057071ad72be7cd7ba9c32c0342f5ddfe5301a,1280,1707,RGB,wikimedia_commons
external_v1_headlight_02_8f6f5e258146,headlight,lighting,external_audit/images/headlight/external_v1_1_headlight_02.jpg,8f6f5e258146811764e48792a00a38fa9574edf56027a75dc07f5991eddd9828,1280,1707,RGB,wikimedia_commons
external_v1_headlight_03_349988cab9ad,headlight,lighting,external_audit/images/headlight/external_v1_1_headlight_03.jpg,349988cab9ad2e0ae4a81c277834baff0dd32903e2e5d1e077fb8df4355e0f8d,1280,2276,RGB,wikimedia_commons
external_v1_headlight_04_5ff8bf0f5126,headlight,lighting,external_audit/images/headlight/external_v1_1_headlight_04.jpg,5ff8bf0f51267956abbb3f5ca0801e1a3513e17fbe24cd2913e8408c0ee01f6b,1280,2276,RGB,wikimedia_commons
external_v1_headlight_05_67e354db9f44,headlight,lighting,external_audit/images/headlight/external_v1_1_headlight_05.jpg,67e354db9f444d9b679c65a4e2f13e748246f322b2ad936a79ecd17ff7844dcd,1280,2276,RGB,wikimedia_commons
external_v1_headlight_06_25c92851d2f2,headlight,lighting,external_audit/images/headlight/external_v1_1_headlight_06.jpg,25c92851d2f2ff057ab3a588ceb49e5091194e2a6a9aceeff8b3191887680fdd,683,1024,RGB,wikimedia_commons
external_v1_headlight_07_77adc5fcb3da,headlight,lighting,external_audit/images/headlight/external_v1_1_headlight_07.jpg,77adc5fcb3dae7140623a80146af7483dbd4209ebd3524d64f1bbdf0f169a29a,682,1024,RGB,wikimedia_commons
external_v1_headlight_08_4590298480bf,headlight,lighting,external_audit/images/headlight/external_v1_1_headlight_08.jpg,4590298480bf3414beeaddf32266d803596fbf6852949563bcc22ca723458fb0,1280,961,RGB,wikimedia_commons
external_v1_headlight_09_04592ce2345d,headlight,lighting,external_audit/images/headlight/external_v1_1_headlight_09.jpg,04592ce2345d135a9f8b608ca995e697b3e0865686270ffaccf4e33181d8c0d2,1280,571,RGB,wikimedia_commons
external_v1_headlight_10_60746ae766f1,headlight,lighting,external_audit/images/headlight/external_v1_1_headlight_10.jpg,60746ae766f15bf0a940972b6a896e2e3b73326fa3906e396cb5b233210d912e,1280,850,RGB,wikimedia_commons
external_v1_ignition_coil_01_d464ad2a67f4,ignition_coil,ignition_and_fuel,external_audit/images/ignition_coil/external_v1_1_ignition_coil_01.jpg,d464ad2a67f4e8ab3367db4c6168b3cbee3482c682197ecf7257afb3c571849c,1024,768,RGB,wikimedia_commons
external_v1_ignition_coil_02_cdfe98289633,ignition_coil,ignition_and_fuel,external_audit/images/ignition_coil/external_v1_1_ignition_coil_02.jpg,cdfe982896333d0c8324c15e2c1ed67812e6c83f210bf14ebdc75c0889882d8d,448,598,RGB,wikimedia_commons
external_v1_ignition_coil_03_2d8fdc30af6c,ignition_coil,ignition_and_fuel,external_audit/images/ignition_coil/external_v1_1_ignition_coil_03.jpg,2d8fdc30af6c63be9535149aa39d526a20e59047578dfe03f7fa42d8152b52ea,799,1200,RGB,wikimedia_commons
external_v1_ignition_coil_04_b905b49c0793,ignition_coil,ignition_and_fuel,external_audit/images/ignition_coil/external_v1_1_ignition_coil_04.jpg,b905b49c0793a6137dbbda7071c6347c0ec6f921cb158b6f472f065931c33aee,884,733,RGB,wikimedia_commons
