sample_id,image_id,image_path,part_category,part_family,text_category,text_family,description,text_mode,label,source
external_v1_alternator_01_1119960a24b5__clean__match,external_v1_alternator_01_1119960a24b5,external_audit/images/alternator/external_v1_1_alternator_01.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,This automotive part is an alternator.,clean,MATCH,external_audit_v1
external_v1_alternator_01_1119960a24b5__clean__mismatch,external_v1_alternator_01_1119960a24b5,external_audit/images/alternator/external_v1_1_alternator_01.jpg,alternator,electrical_starting_charging,headlight,lighting,This automotive part is a headlight.,clean,MISMATCH,external_audit_v1
external_v1_alternator_01_1119960a24b5__clean__partial_match,external_v1_alternator_01_1119960a24b5,external_audit/images/alternator/external_v1_1_alternator_01.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,This automotive part is a starter.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_01_1119960a24b5__natural__match,external_v1_alternator_01_1119960a24b5,external_audit/images/alternator/external_v1_1_alternator_01.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,I need an alternator for the charging system.,natural,MATCH,external_audit_v1
external_v1_alternator_01_1119960a24b5__natural__mismatch,external_v1_alternator_01_1119960a24b5,external_audit/images/alternator/external_v1_1_alternator_01.jpg,alternator,electrical_starting_charging,headlight,lighting,I need a front headlamp.,natural,MISMATCH,external_audit_v1
external_v1_alternator_01_1119960a24b5__natural__partial_match,external_v1_alternator_01_1119960a24b5,external_audit/images/alternator/external_v1_1_alternator_01.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,I need a starter motor for the car.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_02_22fbf9d524d2__clean__match,external_v1_alternator_02_22fbf9d524d2,external_audit/images/alternator/external_v1_1_alternator_02.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,This automotive part is an alternator.,clean,MATCH,external_audit_v1
external_v1_alternator_02_22fbf9d524d2__clean__mismatch,external_v1_alternator_02_22fbf9d524d2,external_audit/images/alternator/external_v1_1_alternator_02.jpg,alternator,electrical_starting_charging,headlight,lighting,This automotive part is a headlight.,clean,MISMATCH,external_audit_v1
external_v1_alternator_02_22fbf9d524d2__clean__partial_match,external_v1_alternator_02_22fbf9d524d2,external_audit/images/alternator/external_v1_1_alternator_02.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,This automotive part is a starter.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_02_22fbf9d524d2__natural__match,external_v1_alternator_02_22fbf9d524d2,external_audit/images/alternator/external_v1_1_alternator_02.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,I need an alternator for the charging system.,natural,MATCH,external_audit_v1
external_v1_alternator_02_22fbf9d524d2__natural__mismatch,external_v1_alternator_02_22fbf9d524d2,external_audit/images/alternator/external_v1_1_alternator_02.jpg,alternator,electrical_starting_charging,headlight,lighting,I need a front headlamp.,natural,MISMATCH,external_audit_v1
external_v1_alternator_02_22fbf9d524d2__natural__partial_match,external_v1_alternator_02_22fbf9d524d2,external_audit/images/alternator/external_v1_1_alternator_02.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,I need a starter motor for the car.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_03_3eda97ca27dd__clean__match,external_v1_alternator_03_3eda97ca27dd,external_audit/images/alternator/external_v1_1_alternator_03.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,This automotive part is an alternator.,clean,MATCH,external_audit_v1
external_v1_alternator_03_3eda97ca27dd__clean__mismatch,external_v1_alternator_03_3eda97ca27dd,external_audit/images/alternator/external_v1_1_alternator_03.jpg,alternator,electrical_starting_charging,headlight,lighting,This automotive part is a headlight.,clean,MISMATCH,external_audit_v1
external_v1_alternator_03_3eda97ca27dd__clean__partial_match,external_v1_alternator_03_3eda97ca27dd,external_audit/images/alternator/external_v1_1_alternator_03.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,This automotive part is a starter.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_03_3eda97ca27dd__natural__match,external_v1_alternator_03_3eda97ca27dd,external_audit/images/alternator/external_v1_1_alternator_03.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,I need an alternator for the charging system.,natural,MATCH,external_audit_v1
external_v1_alternator_03_3eda97ca27dd__natural__mismatch,external_v1_alternator_03_3eda97ca27dd,external_audit/images/alternator/external_v1_1_alternator_03.jpg,alternator,electrical_starting_charging,headlight,lighting,I need a front headlamp.,natural,MISMATCH,external_audit_v1
external_v1_alternator_03_3eda97ca27dd__natural__partial_match,external_v1_alternator_03_3eda97ca27dd,external_audit/images/alternator/external_v1_1_alternator_03.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,I need a starter motor for the car.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_04_5db03cfa561b__clean__match,external_v1_alternator_04_5db03cfa561b,external_audit/images/alternator/external_v1_1_alternator_04.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,This automotive part is an alternator.,clean,MATCH,external_audit_v1
external_v1_alternator_04_5db03cfa561b__clean__mismatch,external_v1_alternator_04_5db03cfa561b,external_audit/images/alternator/external_v1_1_alternator_04.jpg,alternator,electrical_starting_charging,headlight,lighting,This automotive part is a headlight.,clean,MISMATCH,external_audit_v1
external_v1_alternator_04_5db03cfa561b__clean__partial_match,external_v1_alternator_04_5db03cfa561b,external_audit/images/alternator/external_v1_1_alternator_04.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,This automotive part is a starter.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_04_5db03cfa561b__natural__match,external_v1_alternator_04_5db03cfa561b,external_audit/images/alternator/external_v1_1_alternator_04.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,I need an alternator for the charging system.,natural,MATCH,external_audit_v1
external_v1_alternator_04_5db03cfa561b__natural__mismatch,external_v1_alternator_04_5db03cfa561b,external_audit/images/alternator/external_v1_1_alternator_04.jpg,alternator,electrical_starting_charging,headlight,lighting,I need a front headlamp.,natural,MISMATCH,external_audit_v1
external_v1_alternator_04_5db03cfa561b__natural__partial_match,external_v1_alternator_04_5db03cfa561b,external_audit/images/alternator/external_v1_1_alternator_04.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,I need a starter motor for the car.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_05_1580f7bb67e9__clean__match,external_v1_alternator_05_1580f7bb67e9,external_audit/images/alternator/external_v1_1_alternator_05.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,This automotive part is an alternator.,clean,MATCH,external_audit_v1
external_v1_alternator_05_1580f7bb67e9__clean__mismatch,external_v1_alternator_05_1580f7bb67e9,external_audit/images/alternator/external_v1_1_alternator_05.jpg,alternator,electrical_starting_charging,headlight,lighting,This automotive part is a headlight.,clean,MISMATCH,external_audit_v1
