category,selection_order,candidate_number,repo_path,commons_category,commons_title,author,license,source_page,sha256
alternator,1,1,external_audit/images/alternator/external_v1_1_alternator_01.jpg,Category:Automobile alternators,File:Lichtmaschine PKW.jpg,,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Lichtmaschine_PKW.jpg,1119960a24b5ab8dda3fb73d3682a7270f4aee3f2ad0b0eae5ac440edc296460
alternator,2,2,external_audit/images/alternator/external_v1_1_alternator_02.jpg,Category:Automobile alternators,File:AlternoBMWV6.JPG,Ton1~commonswiki,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:AlternoBMWV6.JPG,22fbf9d524d2a9156432e27669877223d72e1404cb2b61636fc425673bc24429
alternator,3,7,external_audit/images/alternator/external_v1_1_alternator_03.jpg,Category:Automobile alternators,File:Jeep 2.5 liter 4-cylinder engine chromed e.jpg,"CZmarlin — Christopher Ziemnowicz, releases all rights but a photo credit would be appreciated if this image is used anywhere other than Wikipedia. Please leave a note at Wikipedia here . Thank you!",Public domain,https://commons.wikimedia.org/wiki/File:Jeep_2.5_liter_4-cylinder_engine_chromed_e.jpg,3eda97ca27ddd6424ec2724e127f276c39ffcf76d5a411729371c40c6bfcfaac
alternator,4,9,external_audit/images/alternator/external_v1_1_alternator_04.jpg,Category:Automobile alternators,File:Amsterdam RAI METS 2011 (086).JPG,S.J. de Waard,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Amsterdam_RAI_METS_2011_(086).JPG,5db03cfa561bb3bf2f8bbd1a25d415d154ecd70e0012eeff483fd037b49ffdcc
alternator,5,10,external_audit/images/alternator/external_v1_1_alternator_05.jpg,Category:Automobile alternators,File:Amsterdam RAI METS 2011 (087).JPG,S.J. de Waard,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Amsterdam_RAI_METS_2011_(087).JPG,1580f7bb67e9f3792482220eb2108eaccdc38c85326176ded57e7810dfea39e4
alternator,6,12,external_audit/images/alternator/external_v1_1_alternator_06.jpg,Category:Automobile alternators,File:Alternador 000.jpg,EL Guarito,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Alternador_000.jpg,2763d44ba67504f2a2e4d2766e36ef14fca70251cbe48f717272d9e720822568
alternator,7,15,external_audit/images/alternator/external_v1_1_alternator_07.jpg,Category:Automobile alternators,File:Alternador 005.JPG,EL Guarito,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Alternador_005.JPG,273fe98d6874061b3cca3791480276d6a5a3b79beecd635d3fa09030a25e0b06
alternator,8,17,external_audit/images/alternator/external_v1_1_alternator_08.jpg,Category:Automobile alternators,File:Alternador 004.JPG,EL Guarito,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Alternador_004.JPG,c2429694e4c0f4a87b470c2edbb06a07bd62076197a42d3dff3ae374a99b01b2
alternator,9,18,external_audit/images/alternator/external_v1_1_alternator_09.jpg,Category:Automobile alternators,File:Automotive alternator. Terminals.jpg,Zinnsoldat,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Automotive_alternator._Terminals.jpg,8717db8608f5293ce9cad2ecfe84a387f9b9e1e36330f730804633971c8b9299
alternator,10,21,external_audit/images/alternator/external_v1_1_alternator_10.png,Category:Automobile alternators,File:Lichtmaschine VW T4.png,Florian Schäffer,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Lichtmaschine_VW_T4.png,9fb8a04100eec3326e3be050e3edeb0ea121d6f23b5270101c1c6171aa1ce3f0
