sample_id,image_id,part_category,text_category,label,prediction
v4_air_compressor_test_0017_2ec947368779f7c7_match_01,v4_air_compressor_test_0017_2ec947368779f7c7,air_compressor,air_compressor,MATCH,PARTIAL_MATCH
v4_air_compressor_test_0020_d8de8cdc196b48c6_match_01,v4_air_compressor_test_0020_d8de8cdc196b48c6,air_compressor,air_compressor,MATCH,PARTIAL_MATCH
v4_air_compressor_test_0017_2ec947368779f7c7_match_02,v4_air_compressor_test_0017_2ec947368779f7c7,air_compressor,air_compressor,MATCH,PARTIAL_MATCH
v4_air_compressor_test_0020_d8de8cdc196b48c6_match_02,v4_air_compressor_test_0020_d8de8cdc196b48c6,air_compressor,air_compressor,MATCH,PARTIAL_MATCH
v4_radiator_hose_test_0007_bdeba690eba026b1_match_01,v4_radiator_hose_test_0007_bdeba690eba026b1,radiator_hose,radiator_hose,MATCH,MISMATCH
v4_radiator_hose_test_0002_eff92cde10665d5d_match_01,v4_radiator_hose_test_0002_eff92cde10665d5d,radiator_hose,radiator_hose,MATCH,MISMATCH
v4_radiator_hose_test_0007_bdeba690eba026b1_match_02,v4_radiator_hose_test_0007_bdeba690eba026b1,radiator_hose,radiator_hose,MATCH,MISMATCH
v4_radiator_hose_test_0002_eff92cde10665d5d_match_02,v4_radiator_hose_test_0002_eff92cde10665d5d,radiator_hose,radiator_hose,MATCH,MISMATCH
v4_water_pump_test_0020_24f41fe79a4b3eae_match_01,v4_water_pump_test_0020_24f41fe79a4b3eae,water_pump,water_pump,MATCH,PARTIAL_MATCH
v4_water_pump_test_0011_e836cdb1cfd6a66b_match_01,v4_water_pump_test_0011_e836cdb1cfd6a66b,water_pump,water_pump,MATCH,MISMATCH
v4_water_pump_test_0020_24f41fe79a4b3eae_match_02,v4_water_pump_test_0020_24f41fe79a4b3eae,water_pump,water_pump,MATCH,PARTIAL_MATCH
v4_water_pump_test_0011_e836cdb1cfd6a66b_match_02,v4_water_pump_test_0011_e836cdb1cfd6a66b,water_pump,water_pump,MATCH,MISMATCH
v4_camshaft_test_0006_7cbcd712700e92d6_match_01,v4_camshaft_test_0006_7cbcd712700e92d6,camshaft,camshaft,MATCH,PARTIAL_MATCH
v4_camshaft_test_0006_7cbcd712700e92d6_match_02,v4_camshaft_test_0006_7cbcd712700e92d6,camshaft,camshaft,MATCH,PARTIAL_MATCH
v4_crankshaft_test_0024_7947c64cf95256b2_match_01,v4_crankshaft_test_0024_7947c64cf95256b2,crankshaft,crankshaft,MATCH,PARTIAL_MATCH
v4_crankshaft_test_0024_7947c64cf95256b2_match_02,v4_crankshaft_test_0024_7947c64cf95256b2,crankshaft,crankshaft,MATCH,PARTIAL_MATCH
v4_engine_block_test_0022_b98175ae216312be_match_01,v4_engine_block_test_0022_b98175ae216312be,engine_block,engine_block,MATCH,PARTIAL_MATCH
v4_engine_block_test_0022_b98175ae216312be_match_02,v4_engine_block_test_0022_b98175ae216312be,engine_block,engine_block,MATCH,PARTIAL_MATCH
v4_engine_valve_test_0021_97d4f176ad87af6a_match_01,v4_engine_valve_test_0021_97d4f176ad87af6a,engine_valve,engine_valve,MATCH,MISMATCH
v4_engine_valve_test_0021_97d4f176ad87af6a_match_02,v4_engine_valve_test_0021_97d4f176ad87af6a,engine_valve,engine_valve,MATCH,MISMATCH
v4_distributor_test_0011_d14d8e059b7f7a21_match_01,v4_distributor_test_0011_d14d8e059b7f7a21,distributor,distributor,MATCH,PARTIAL_MATCH
v4_distributor_test_0019_dcb1478876e534ba_match_01,v4_distributor_test_0019_dcb1478876e534ba,distributor,distributor,MATCH,MISMATCH
v4_distributor_test_0023_e5841499c58756dd_match_01,v4_distributor_test_0023_e5841499c58756dd,distributor,distributor,MATCH,PARTIAL_MATCH
v4_distributor_test_0011_d14d8e059b7f7a21_match_02,v4_distributor_test_0011_d14d8e059b7f7a21,distributor,distributor,MATCH,PARTIAL_MATCH
v4_distributor_test_0019_dcb1478876e534ba_match_02,v4_distributor_test_0019_dcb1478876e534ba,distributor,distributor,MATCH,MISMATCH
v4_distributor_test_0023_e5841499c58756dd_match_02,v4_distributor_test_0023_e5841499c58756dd,distributor,distributor,MATCH,PARTIAL_MATCH
v4_distributor_test_0011_d14d8e059b7f7a21_match_03,v4_distributor_test_0011_d14d8e059b7f7a21,distributor,distributor,MATCH,PARTIAL_MATCH
