part_category,label,prediction,errors
gas_cap,MISMATCH,PARTIAL_MATCH,24
fuel_injector,PARTIAL_MATCH,MATCH,19
leaf_spring,PARTIAL_MATCH,MATCH,15
alternator,MISMATCH,MATCH,14
camshaft,PARTIAL_MATCH,MATCH,12
rim,MISMATCH,MATCH,12
piston,PARTIAL_MATCH,MATCH,11
side_mirror,PARTIAL_MATCH,MATCH,11
brake_rotor,MISMATCH,PARTIAL_MATCH,10
leaf_spring,MISMATCH,MATCH,10
transmission,MISMATCH,PARTIAL_MATCH,10
spoiler,MISMATCH,MATCH,9
vacuum_brake_booster,PARTIAL_MATCH,MATCH,8
transmission,MISMATCH,MATCH,7
vacuum_brake_booster,MISMATCH,MATCH,7
cylinder_head,PARTIAL_MATCH,MATCH,6
ignition_coil,MISMATCH,PARTIAL_MATCH,6
overflow_tank,PARTIAL_MATCH,MISMATCH,6
oxygen_sensor,MATCH,PARTIAL_MATCH,6
distributor,MATCH,PARTIAL_MATCH,5
distributor,PARTIAL_MATCH,MATCH,5
lower_control_arm,MISMATCH,MATCH,5
side_mirror,MISMATCH,MATCH,5
water_pump,PARTIAL_MATCH,MISMATCH,5
air_compressor,MATCH,PARTIAL_MATCH,4
alternator,MATCH,PARTIAL_MATCH,4
brake_pad,MISMATCH,MATCH,4
gas_cap,PARTIAL_MATCH,MATCH,4
leaf_spring,MATCH,MISMATCH,4
oil_pressure_sensor,MISMATCH,PARTIAL_MATCH,4
oxygen_sensor,PARTIAL_MATCH,MATCH,4
radiator_hose,MATCH,MISMATCH,4
radiator_hose,PARTIAL_MATCH,MISMATCH,4
spark_plug,MATCH,PARTIAL_MATCH,4
starter,PARTIAL_MATCH,MISMATCH,4
taillight,MATCH,PARTIAL_MATCH,4
taillight,PARTIAL_MATCH,MATCH,4
window_regulator,MISMATCH,MATCH,4
brake_pad,MISMATCH,PARTIAL_MATCH,3
carburetor,PARTIAL_MATCH,MATCH,3
fuel_injector,MATCH,PARTIAL_MATCH,3
gas_cap,MISMATCH,MATCH,3
leaf_spring,MATCH,PARTIAL_MATCH,3
muffler,MISMATCH,MATCH,3
muffler,PARTIAL_MATCH,MISMATCH,3
oil_filter,MISMATCH,MATCH,3
radiator_fan,PARTIAL_MATCH,MATCH,3
radio,MISMATCH,MATCH,3
transmission,MATCH,MISMATCH,3
transmission,PARTIAL_MATCH,MISMATCH,3
air_compressor,PARTIAL_MATCH,MATCH,2
air_compressor,PARTIAL_MATCH,MISMATCH,2
alternator,MISMATCH,PARTIAL_MATCH,2
brake_caliper,MATCH,MISMATCH,2
brake_caliper,MISMATCH,MATCH,2
brake_caliper,PARTIAL_MATCH,MATCH,2
brake_rotor,PARTIAL_MATCH,MISMATCH,2
camshaft,MATCH,PARTIAL_MATCH,2
camshaft,MISMATCH,PARTIAL_MATCH,2
crankshaft,MATCH,PARTIAL_MATCH,2
crankshaft,MISMATCH,MATCH,2
distributor,MATCH,MISMATCH,2
distributor,PARTIAL_MATCH,MISMATCH,2
engine_block,MATCH,PARTIAL_MATCH,2
engine_valve,MATCH,MISMATCH,2
gas_cap,MATCH,MISMATCH,2
gas_cap,PARTIAL_MATCH,MISMATCH,2
idler_arm,MATCH,MISMATCH,2
idler_arm,PARTIAL_MATCH,MATCH,2
ignition_coil,MATCH,PARTIAL_MATCH,2
instrument_cluster,MATCH,PARTIAL_MATCH,2
lower_control_arm,MATCH,MISMATCH,2
lower_control_arm,MISMATCH,PARTIAL_MATCH,2
oil_filter,MISMATCH,PARTIAL_MATCH,2
oil_pan,MISMATCH,MATCH,2
oil_pressure_sensor,PARTIAL_MATCH,MATCH,2
overflow_tank,PARTIAL_MATCH,MATCH,2
oxygen_sensor,MISMATCH,PARTIAL_MATCH,2
oxygen_sensor,PARTIAL_MATCH,MISMATCH,2
piston,MISMATCH,PARTIAL_MATCH,2
pressure_plate,MATCH,PARTIAL_MATCH,2
radiator_hose,PARTIAL_MATCH,MATCH,2
radio,MATCH,PARTIAL_MATCH,2
rim,PARTIAL_MATCH,MISMATCH,2
shift_knob,MISMATCH,PARTIAL_MATCH,2
shift_knob,PARTIAL_MATCH,MATCH,2
shift_knob,PARTIAL_MATCH,MISMATCH,2
starter,MISMATCH,PARTIAL_MATCH,2
transmission,PARTIAL_MATCH,MATCH,2
vacuum_brake_booster,MATCH,MISMATCH,2
vacuum_brake_booster,MISMATCH,PARTIAL_MATCH,2
water_pump,MATCH,MISMATCH,2
water_pump,MATCH,PARTIAL_MATCH,2
water_pump,MISMATCH,MATCH,2
window_regulator,MISMATCH,PARTIAL_MATCH,2
engine_valve,MISMATCH,MATCH,1
leaf_spring,MISMATCH,PARTIAL_MATCH,1
oxygen_sensor,MISMATCH,MATCH,1
piston,MISMATCH,MATCH,1
rim,MISMATCH,PARTIAL_MATCH,1
