severity,part_category,left_split,right_split,left_image_id,right_image_id,left_source_original_split,right_source_original_split,left_source_archive_path,right_source_archive_path,left_image_path,right_image_path,phash_distance,dhash_distance
very_strict,alternator,train,test,v4_alternator_train_0148_db969634ac463137,v4_alternator_test_0025_d1f0f0fc34211ecd,train,train,car parts 50/train/ALTERNATOR/176.jpg,car parts 50/train/ALTERNATOR/031.jpg,data/images/dataset_v4/train/alternator/v4_alternator_train_0148_db969634ac463137.jpg,data/locked_test/dataset_v4/images/alternator/v4_alternator_test_0025_d1f0f0fc34211ecd.jpg,2,1
very_strict,clutch_plate,validation,test,v4_clutch_plate_validation_0030_c3f1041728a5ef85,v4_clutch_plate_test_0009_98948eae9246d827,train,train,car parts 50/train/CLUTCH PLATE/007.jpg,car parts 50/train/CLUTCH PLATE/118.jpg,data/images/dataset_v4/validation/clutch_plate/v4_clutch_plate_validation_0030_c3f1041728a5ef85.jpg,data/locked_test/dataset_v4/images/clutch_plate/v4_clutch_plate_test_0009_98948eae9246d827.jpg,2,1
very_strict,radiator_fan,train,test,v4_radiator_fan_train_0091_2760622f31d40231,v4_radiator_fan_test_0005_de91a7630f3ddeba,train,train,car parts 50/train/RADIATOR FAN/125.jpg,car parts 50/train/RADIATOR FAN/127.jpg,data/images/dataset_v4/train/radiator_fan/v4_radiator_fan_train_0091_2760622f31d40231.jpg,data/locked_test/dataset_v4/images/radiator_fan/v4_radiator_fan_test_0005_de91a7630f3ddeba.jpg,2,1
very_strict,thermostat,train,validation,v4_thermostat_train_0072_83baca01bea2116c,v4_thermostat_validation_0058_01409b6802d534be,train,train,car parts 50/train/THERMOSTAT/087.jpg,car parts 50/train/THERMOSTAT/059.jpg,data/images/dataset_v4/train/thermostat/v4_thermostat_train_0072_83baca01bea2116c.jpg,data/images/dataset_v4/validation/thermostat/v4_thermostat_validation_0058_01409b6802d534be.jpg,2,1
very_strict,transmission,train,test,v4_transmission_train_0093_eab4b364b906e858,v4_transmission_test_0012_722a39d192c54693,train,train,car parts 50/train/TRANSMISSION/086.jpg,car parts 50/train/TRANSMISSION/085.jpg,data/images/dataset_v4/train/transmission/v4_transmission_train_0093_eab4b364b906e858.jpg,data/locked_test/dataset_v4/images/transmission/v4_transmission_test_0012_722a39d192c54693.jpg,2,1
very_strict,cylinder_head,train,validation,v4_cylinder_head_train_0163_e57a252d7fdfc1fd,v4_cylinder_head_validation_0040_2dfb6ccc5608beec,train,train,car parts 50/train/CYLINDER HEAD/044.jpg,car parts 50/train/CYLINDER HEAD/042.jpg,data/images/dataset_v4/train/cylinder_head/v4_cylinder_head_train_0163_e57a252d7fdfc1fd.jpg,data/images/dataset_v4/validation/cylinder_head/v4_cylinder_head_validation_0040_2dfb6ccc5608beec.jpg,2,3
very_strict,fuel_injector,train,test,v4_fuel_injector_train_0112_6a134f8bd4742172,v4_fuel_injector_test_0002_376d23df9cbfaae7,train,train,car parts 50/train/FUEL INJECTOR/168.jpg,car parts 50/train/FUEL INJECTOR/010.jpg,data/images/dataset_v4/train/fuel_injector/v4_fuel_injector_train_0112_6a134f8bd4742172.jpg,data/locked_test/dataset_v4/images/fuel_injector/v4_fuel_injector_test_0002_376d23df9cbfaae7.jpg,2,3
very_strict,transmission,train,validation,v4_transmission_train_0117_ca71ae7eb181747c,v4_transmission_validation_0032_0a0aa1b65e5c176c,train,train,car parts 50/train/TRANSMISSION/103.jpg,car parts 50/train/TRANSMISSION/063.jpg,data/images/dataset_v4/train/transmission/v4_transmission_train_0117_ca71ae7eb181747c.jpg,data/images/dataset_v4/validation/transmission/v4_transmission_validation_0032_0a0aa1b65e5c176c.jpg,2,3
very_strict,clutch_plate,train,test,v4_clutch_plate_train_0127_031408f1067f3c23,v4_clutch_plate_test_0009_98948eae9246d827,train,train,car parts 50/train/CLUTCH PLATE/008.jpg,car parts 50/train/CLUTCH PLATE/118.jpg,data/images/dataset_v4/train/clutch_plate/v4_clutch_plate_train_0127_031408f1067f3c23.jpg,data/locked_test/dataset_v4/images/clutch_plate/v4_clutch_plate_test_0009_98948eae9246d827.jpg,2,4
very_strict,oil_filter,train,validation,v4_oil_filter_train_0172_36ed371c1db75211,v4_oil_filter_validation_0037_c53c03f6be4f9aa1,train,train,car parts 50/train/OIL FILTER/055.jpg,car parts 50/train/OIL FILTER/065.jpg,data/images/dataset_v4/train/oil_filter/v4_oil_filter_train_0172_36ed371c1db75211.jpg,data/images/dataset_v4/validation/oil_filter/v4_oil_filter_validation_0037_c53c03f6be4f9aa1.jpg,2,4
very_strict,starter,validation,test,v4_starter_validation_0057_dd6de5816dfb2b95,v4_starter_test_0016_5e28f7a23c68419c,train,train,car parts 50/train/STARTER/164.jpg,car parts 50/train/STARTER/081.jpg,data/images/dataset_v4/validation/starter/v4_starter_validation_0057_dd6de5816dfb2b95.jpg,data/locked_test/dataset_v4/images/starter/v4_starter_test_0016_5e28f7a23c68419c.jpg,2,4
very_strict,thermostat,train,validation,v4_thermostat_train_0064_04032bfa79100c54,v4_thermostat_validation_0047_80021178346aaade,train,train,car parts 50/train/THERMOSTAT/026.jpg,car parts 50/train/THERMOSTAT/156.jpg,data/images/dataset_v4/train/thermostat/v4_thermostat_train_0064_04032bfa79100c54.jpg,data/images/dataset_v4/validation/thermostat/v4_thermostat_validation_0047_80021178346aaade.jpg,2,4
very_strict,thermostat,train,test,v4_thermostat_train_0081_4ec676f9d066e55f,v4_thermostat_test_0007_c3324796dc26aa53,train,train,car parts 50/train/THERMOSTAT/010.jpg,car parts 50/train/THERMOSTAT/069.jpg,data/images/dataset_v4/train/thermostat/v4_thermostat_train_0081_4ec676f9d066e55f.jpg,data/locked_test/dataset_v4/images/thermostat/v4_thermostat_test_0007_c3324796dc26aa53.jpg,2,6
